year;emirate;Time;age group;gender;counts
2019;Sharjah;;51 - 55;Female;6
2019;Sharjah;;51 - 55;Male;27
2019;Sharjah;;56 - 60;Female;3
2019;Sharjah;;56 - 60;Male;12
2019;Sharjah;;61 or more;Male;18
2019;Sharjah;;61 or more;Female;0
2019;Sharjah;;Unknown;Female;16
2019;Sharjah;;Unknown;Male;0
2019;Umm Al - Quwain;;17 or less;Male;0
2019;Umm Al - Quwain;;17 or less;Female;0
2019;Umm Al - Quwain;;18 - 20;Male;4
2019;Umm Al - Quwain;;18 - 20;Female;26
2019;Umm Al - Quwain;;21 - 25;Male;57
2019;Umm Al - Quwain;;21 - 25;Female;88
2019;Umm Al - Quwain;;26 - 30;Female;43
2019;Umm Al - Quwain;;26 - 30;Male;67
2019;Umm Al - Quwain;;31 - 35;Female;15
2019;Umm Al - Quwain;;31 - 35;Male;34
2019;Umm Al - Quwain;;36 - 40;Female;12
2019;Umm Al - Quwain;;36 - 40;Male;14
2019;Umm Al - Quwain;;41 - 45;Male;4
2019;Umm Al - Quwain;;41 - 45;Female;5
2019;Umm Al - Quwain;;46 - 50;Male;3
2019;Umm Al - Quwain;;46 - 50;Female;0
2019;Umm Al - Quwain;;51 - 55;Female;1
2019;Umm Al - Quwain;;51 - 55;Male;3
2019;Umm Al - Quwain;;56 - 60;Male;1
2019;Umm Al - Quwain;;56 - 60;Female;0
2019;Umm Al - Quwain;;61 or more;Male;4
2019;Umm Al - Quwain;;61 or more;Female;0
2019;Umm Al - Quwain;;Unknown;Female;1
2019;Umm Al - Quwain;;Unknown;Male;0
2019;;;;;
